n,coll_l,coll_max,coll_s
83,111,9232,83;250;125;376;188;94;47;142;71;214;107;322;161;484;242;121;364;182;91;274;137;412;206;103;310;155;466;233;700;350;175;526;263;790;395;1186;593;1780;890;445;1336;668;334;167;502;251;754;377;1132;566;283;850;425;1276;638;319;958;479;1438;719;2158;1079;3238;1619;4858;2429;7288;3644;1822;911;2734;1367;4102;2051;6154;3077;9232;4616;2308;1154;577;1732;866;433;1300;650;325;976;488;244;122;61;184;92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
84,10,84,84;42;21;64;32;16;8;4;2;1
85,10,256,85;256;128;64;32;16;8;4;2;1
86,31,196,86;43;130;65;196;98;49;148;74;37;112;56;28;14;7;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
87,31,592,87;262;131;394;197;592;296;148;74;37;112;56;28;14;7;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
88,18,88,88;44;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
89,31,304,89;268;134;67;202;101;304;152;76;38;19;58;29;88;44;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
90,18,136,90;45;136;68;34;17;52;26;13;40;20;10;5;16;8;4;2;1
91,93,9232,91;274;137;412;206;103;310;155;466;233;700;350;175;526;263;790;395;1186;593;1780;890;445;1336;668;334;167;502;251;754;377;1132;566;283;850;425;1276;638;319;958;479;1438;719;2158;1079;3238;1619;4858;2429;7288;3644;1822;911;2734;1367;4102;2051;6154;3077;9232;4616;2308;1154;577;1732;866;433;1300;650;325;976;488;244;122;61;184;92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
92,18,160,92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
93,18,280,93;280;140;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
94,106,9232,94;47;142;71;214;107;322;161;484;242;121;364;182;91;274;137;412;206;103;310;155;466;233;700;350;175;526;263;790;395;1186;593;1780;890;445;1336;668;334;167;502;251;754;377;1132;566;283;850;425;1276;638;319;958;479;1438;719;2158;1079;3238;1619;4858;2429;7288;3644;1822;911;2734;1367;4102;2051;6154;3077;9232;4616;2308;1154;577;1732;866;433;1300;650;325;976;488;244;122;61;184;92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
95,106,9232,95;286;143;430;215;646;323;970;485;1456;728;364;182;91;274;137;412;206;103;310;155;466;233;700;350;175;526;263;790;395;1186;593;1780;890;445;1336;668;334;167;502;251;754;377;1132;566;283;850;425;1276;638;319;958;479;1438;719;2158;1079;3238;1619;4858;2429;7288;3644;1822;911;2734;1367;4102;2051;6154;3077;9232;4616;2308;1154;577;1732;866;433;1300;650;325;976;488;244;122;61;184;92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
96,13,96,96;48;24;12;6;3;10;5;16;8;4;2;1
97,119,9232,97;292;146;73;220;110;55;166;83;250;125;376;188;94;47;142;71;214;107;322;161;484;242;121;364;182;91;274;137;412;206;103;310;155;466;233;700;350;175;526;263;790;395;1186;593;1780;890;445;1336;668;334;167;502;251;754;377;1132;566;283;850;425;1276;638;319;958;479;1438;719;2158;1079;3238;1619;4858;2429;7288;3644;1822;911;2734;1367;4102;2051;6154;3077;9232;4616;2308;1154;577;1732;866;433;1300;650;325;976;488;244;122;61;184;92;46;23;70;35;106;53;160;80;40;20;10;5;16;8;4;2;1
98,26,148,98;49;148;74;37;112;56;28;14;7;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
99,26,448,99;298;149;448;224;112;56;28;14;7;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
100,26,100,100;50;25;76;38;19;58;29;88;44;22;11;34;17;52;26;13;40;20;10;5;16;8;4;2;1
